id,name
c9fd857e-5e0f-4773-b624-7481c3d74dd4,VW7-23421
1756398f-a229-4a00-a02e-73b8329cf210,test’s Mac
3a78f032-2b55-45bc-8f7a-195a67b656e1,BT-PYTHON
9bdf1b39-798a-4feb-a3f0-9ee12c26d849,BW-m4800-win2k3
acf0893d-386d-49c0-9669-bc34e5e31ed8,bw-t430-xp64
0d89b32d-159a-4fa5-853d-40e2b32f5f85,RT_OPTICSM_W7
c80d1445-053e-405b-a642-2a2eec4f5b9a,EAMAC-DEMO-VM
892ec6fd-7d99-460e-a84e-4e957a39c3b3,RT_OPTICSP_W10
4cbf9ef5-9e19-4a8c-8929-7823b6a857e2,bw-t430-xp32
919dd04d-dc20-49ea-9f7a-e34fde5c5b4a,RT-OPTICSEA1
e36130fd-7fff-4f4d-95ba-9bc22c67aa0b,ND-MBPROT-VM
abf9318a-fa0c-4d16-bdca-ed0a6492c21f,TK-UBT-PROTECT
bec36a14-cf2c-40a4-879e-460d487d1d82,LW-WIN7X64
d8725243-c482-4dda-beaa-188b5f037c89,RS-OPTICS2
5233fd72-1403-4524-be34-344038d69361,aak-stage
e7d42351-20b2-4f7b-bb09-fa9f6cbdf903,WIN-445AEQJFGMK
7c0b6613-2004-4b5d-b38b-977f6421a2b3,MH-Cent-7-64.localdomain
1e44aff7-5b1e-471d-a146-141ee280b7f6,HOSTB
10205430-f64f-45e6-bd26-7d279c12d38c,WYNNEII
d6bcdd9b-4ae2-4b2f-b36f-d1626c444004,DAP-CYALERT
df880bb4-9a77-4c70-8bb4-18b2adf9ad93,ND-PROT-VM
c9b2713d-0545-410a-ba15-c67885326f4f,DR-SA-C1MRX3W6H3QK
61257a3e-c6a5-48d2-9608-6b7645e48478,Demo’s Mac
2b21f440-e514-4f69-a2bf-d3a06ff75f99,MacBook Pro
54c611a5-1596-4f55-89d4-3f115791d1da,LENOVO-PC
5f6b9cb7-5b2d-4d4b-8966-a95f98899e40,WIN7X64
e051fc91-87f5-4adf-9884-7f5408001610,SW-OPTICS4
